student@course-vm:~ $ nc testbed.usc.edu 10002
DATA send to 1 'Aloha 20'
DATA send to 1 'Aloha 21'
DATA send to 1 'Aloha 22'
DATA send to 1 'Aloha 23'
DATA send to 1 'Aloha 24'
DATA send to 1 'Aloha 25'
DATA send to 1 'Aloha 26'
DATA send to 1 'Aloha 27'
DATA send to 1 'Aloha 28'
DATA send to 1 'Aloha 29'
DATA send to 1 'Aloha 30'
DATA send to 1 'Aloha 31'
DATA send to 1 'Aloha 32'
DATA send to 1 'Aloha 33'
DATA send to 1 'Aloha 34'
DATA send to 1 'Aloha 35'
DATA send to 1 'Aloha 36'
DATA send to 1 'Aloha 37'
DATA send to 1 'Aloha 38'
DATA send to 1 'Aloha 39'

